0,251,5
0,1147,5
0,1601,5
0,2258,1
0,2259,1
1,6,4
1,70,5
1,99,3
1,132,4
1,151,5
1,212,5
1,300,4
1,419,4
1,460,3
1,483,5
1,495,3
1,589,5
1,656,5
1,688,4
1,748,5
1,760,3
1,829,5
1,947,4
1,949,4
1,995,5
1,1024,5
1,1034,5
1,1068,5
1,1091,4
1,1093,5
1,1215,3
1,1269,5
1,1396,5
1,1447,5
1,1452,5
1,1569,5
1,1720,4
1,1802,5
1,1869,5
1,2025,4
1,2109,4
1,2136,5
1,2159,5
1,2195,3
1,2249,4
1,2279,3
1,2323,4
1,2465,4
1,2492,5
1,2515,4
1,2544,5
1,2604,5
1,2646,5
1,2860,3
1,2974,5
2,227,5
2,275,4
2,460,4
2,480,5
2,509,5
2,725,5
2,852,5
2,985,5
2,1061,5
2,1114,5
2,1215,4
2,1246,5
2,1318,4
2,1375,5
2,1616,5
2,1709,5
2,1718,4
2,1890,5
2,2013,5
2,2054,4
2,2195,4
2,2253,5
2,2573,5
2,2650,5
3,29,5
3,567,5
3,874,5
3,1134,5
3,1332,5
3,1398,5
3,1632,5
3,1979,5
3,2197,5
3,2503,4
4,61,2
4,81,3
4,119,2
4,121,2
4,122,2
4,144,3
4,221,3
4,299,4
4,338,5
4,352,4
4,407,5
4,449,3
4,458,5
4,476,2
4,484,4
4,543,5
4,640,4
4,674,2
4,691,2
4,732,3
4,760,4
4,775,3
4,792,4
4,816,4
4,834,5
4,837,3
4,845,4
4,871,5
4,959,4
4,1012,4
4,1071,4
4,1073,4
4,1080,3
4,1106,3
4,1230,5
4,1234,4
4,1266,5
4,1278,5
4,1336,3
4,1394,5
4,1466,5
4,1470,5
4,1495,2
4,1505,4
4,1608,5
4,1650,5
4,1689,5
4,1727,5
4,1748,5
4,1778,4
4,1811,4
4,1817,5
4,1831,4
4,1877,5
4,1912,5
4,1946,4
4,1957,5
4,1958,4
4,1961,5
4,1963,5
4,1993,3
4,2004,5
4,2009,4
4,2049,4
4,2050,3
4,2089,4
4,2106,5
4,2122,3
4,2136,1
4,2138,4
4,2297,5
4,2339,4
4,2382,4
4,2422,5
4,2442,4
4,2447,3
4,2461,3
4,2478,4
4,2480,2
4,2543,4
4,2608,5
4,2664,4
4,2737,2
4,2755,4
4,2780,4
4,2786,2
4,2790,4
4,2826,4
4,2951,2
4,2974,1
5,246,5
5,253,5
5,435,3
5,482,4
5,704,5
5,761,5
5,921,5
5,929,2
5,1043,5
5,1270,5
5,1459,3
5,1540,3
5,1588,5
5,1589,5
5,1604,3
5,1670,5
5,1811,3
5,1824,3
5,1881,4
5,2015,4
5,2067,5
5,2106,5
5,2229,4
5,2442,3
5,2676,4
6,41,3
6,294,4
6,502,2
6,507,5
6,583,5
6,702,4
6,731,4
6,758,5
6,782,3
6,824,4
6,903,4
6,921,4
6,976,5
6,977,4
6,1078,4
6,1168,4
6,1203,4
6,1284,3
6,1326,5
6,1339,5
6,1430,5
6,1598,5
6,1678,4
6,1720,3
6,1734,4
6,1767,3
6,1796,5
6,1894,5
6,1901,5
6,1954,5
6,2199,1
6,2351,4
6,2413,4
6,2422,5
6,2445,4
6,2486,5
6,2585,4
6,2717,4
6,2875,3
6,2993,5
6,2997,4
7,200,5
7,298,5
7,343,5
7,348,5
7,353,5
7,396,5
7,478,5
7,578,3
7,765,4
7,776,5
7,838,5
7,977,5
7,1659,5
7,1708,5
7,1733,5
7,1875,5
7,1880,5
7,2112,5
7,2332,5
7,2428,5
7,2445,5
7,2628,5
7,2949,5
8,39,2
8,58,4
8,111,4
8,259,4
8,275,4
8,293,3
8,295,5
8,305,2
8,324,3
8,449,3
8,553,1
8,566,5
8,570,3
8,571,5
8,590,5
8,622,2
8,732,3
8,749,1
8,788,1
8,911,5
8,916,5
8,928,2
8,945,4
8,963,5
8,974,5
8,980,4
8,1026,5
8,1041,5
8,1073,3
8,1078,2
8,1125,5
8,1146,5
8,1207,3
8,1281,4
8,1287,3
8,1289,5
8,1302,2
8,1318,4
8,1410,3
8,1427,2
8,1515,4
8,1517,4
8,1599,3
8,1660,4
8,1706,4
